Instagram Handle,Bio,Geo Location,Followers,Following,Year Joined,Total Number of Posts,Dates of Recent Posts,Bio Hashtags,Website/Links in Bio
musiktexte.online,"Monatlich erscheinende Online-Publikation mit Beiträgen zur zeitgenössischen Musik.
Abonniert unseren kostenlosen Newsletter!",Not Provided,886,414,N/A (Requires deep historical scrape),107,"2025-10-30, 2025-10-30, 2025-10-30, 2026-02-08, 2026-01-22",,http://www.musiktexte.online/
ruemlingen,,Not Provided,1268,359,N/A (Requires deep historical scrape),109,"2026-05-17, 2026-05-07, 2026-05-09, 2026-05-12, 2026-05-15",,http://www.neue-musik-ruemlingen.ch/
evs_musikstiftung,"contemporary music
prizes, funding, initiatives",Not Provided,4615,244,N/A (Requires deep historical scrape),217,"2026-05-15, 2026-05-11, 2026-04-29, 2026-05-06, 2026-04-27",,http://evs-musikstiftung.ch/
impulse__festival,"Impulse Festival 
für Performance, Theater & Tanz #ImpulseFestival",Not Provided,12289,1803,N/A (Requires deep historical scrape),522,"2026-05-08, 2026-05-09, 2026-05-11, 2026-05-13, 2026-05-12",#ImpulseFestival,https://www.impulsefestival.de/
wienmodern,"Neue Musik für die Stadt
-
30.10 - 30.11",Not Provided,6649,668,N/A (Requires deep historical scrape),788,"2026-02-17, 2025-12-17, 2026-02-13",,http://www.wienmodern.at/
berlinerfestspiele,"Seeing what’s ahead. 
#MaerzMusik #Theatertreffen #MusikfestBerlin #JazzfestBerlin #PerformingArtsSeason @treffenjungeszene @gropiusbau",Not Provided,55547,1526,N/A (Requires deep historical scrape),3380,"2026-05-17, 2026-05-18, 2026-05-17, 2026-05-16, 2026-05-15","#MaerzMusik, #Theatertreffen, #MusikfestBerlin, #JazzfestBerlin, #PerformingArtsSeason",http://berlinerfestspiele.de/
lucernefestival,"Orchestrating the Moment.
Happening now: Lucerne Festival Pulse with @vikingurolafsson 🎹 08–17.05.2026",Not Provided,66014,513,N/A (Requires deep historical scrape),2395,"2026-05-18, 2025-11-26, 2026-05-17, 2026-01-27, 2026-05-16",,https://www.lucernefestival.ch/LinkInBio
nymusikk,Helårsarrangør og landsforening for samtidsmusikk. Etablert i 1938. #nyMusikk #OnlyConnectFestival Bli medlem 👇,Not Provided,5624,1378,N/A (Requires deep historical scrape),1356,"2026-05-12, 2026-05-15, 2026-01-09, 2026-05-11","#nyMusikk, #OnlyConnectFestival",http://www.nymusikk.no/
positionenmusik,"Quarterly discourse magazine on music | Founded 1988 | Editor @riekenjulian | Marketing @byallmeans.saskia
Hosting @untwelving May 2026, Munich",Not Provided,2979,340,N/A (Requires deep historical scrape),535,"2026-05-15, 2026-05-16",,https://positionen-texte-zur-aktuellen-musik.subsail.com/subscribe/
zeitraeume_basel,"ZeitRäume Basel  
Biennale für neue Musik und Architektur 
09.–19.09.2021",Not Provided,1149,401,N/A (Requires deep historical scrape),79,"2021-11-21, 2021-09-24, 2021-09-28, 2021-09-27, 2021-12-31",,https://linktr.ee/zeitraeumebasel
theaterderzeit,"Zeitschrift, Buchverlag und mit tdz.de Online-Medium für das ganze Theater.",Not Provided,15483,663,N/A (Requires deep historical scrape),1918,"2026-02-25, 2026-04-01, 2026-05-04, 2026-05-18, 2026-05-18",,https://linktr.ee/theaterderzeit
ultimafestivalen,"Ultima Oslo Contemporary Music Festival
10–19 September 2026
More info:",Not Provided,6885,1002,N/A (Requires deep historical scrape),1315,"2026-04-17, 2026-05-14, 2026-04-14, 2026-05-11",,http://linktr.ee/ultimaocmf
suena.festival,Suena Festival Wien widmet sich der Förderung zeitgenössischer iberoamerikanischer Musik in Österreich 🇦🇹 : https://www.suenafestival.com/,Not Provided,1152,847,N/A (Requires deep historical scrape),81,"2026-05-12, 2026-05-08, 2026-05-13, 2026-05-10",,https://www.suenafestival.com/
steirischerherbst,"steirischer herbst ’26
24.9.–18.10.26
contemporary art festival
Graz, Austria & beyond",Not Provided,11743,1302,N/A (Requires deep historical scrape),1498,"2026-04-24, 2026-05-15, 2026-05-04, 2026-04-30, 2026-04-29",,https://www.steirischerherbst.at/links
musiktheatertage.wien,"Contemporary Music Theatre Festival
16 - 27 September 2026",Not Provided,3041,2060,N/A (Requires deep historical scrape),311,"2026-04-28, 2026-05-18, 2026-03-04, 2026-05-07, 2026-05-08",,https://mttw.at/
musikfestival_bern,"Eines der grössten Schweizer Festivals für zeitgenössische Musik | One of Switzerland’s largest festivals of contemporary music
📅 2.–6. Sept 2026",Not Provided,3915,459,N/A (Requires deep historical scrape),249,"2025-11-17, 2025-12-19, 2026-04-16, 2026-05-12, 2025-11-17",,https://linktr.ee/musikfestivalbern
muenchenerbiennale,"Uraufführungsfestival für neues Musiktheater.
20. Münchener Biennale: 08/05-20/05/2026",Not Provided,3477,429,N/A (Requires deep historical scrape),332,"2026-05-14, 2026-05-16, 2026-05-17, 2026-05-15, 2026-05-17",,http://muenchener-biennale.de/
impuls_festival,"IMPULS 25 - GOTTES GARTEN - VERBOTENE FRÜCHTE
August - November",Not Provided,5017,201,N/A (Requires deep historical scrape),223,"2025-10-14, 2025-12-05, 2025-11-17",,https://impulsfestival.de/2025/
